year,stand,species,trap,filledseeds,emptyseeds,cones,conefilledseeds,coneemptyseeds,totconeseeds
2009,AE10,ABAM,1,0,0,0,NA,NA,0
2009,AE10,ABGR,1,0,0,0,NA,NA,0
2009,AE10,ABLA,1,1,0,1,NA,NA,0
2009,AE10,ABPR,1,0,0,0,NA,NA,0
2009,AE10,ACGL,1,0,0,0,NA,NA,0
2009,AE10,ALRU,1,0,0,0,NA,NA,0
2009,AE10,CANO,1,0,0,0,NA,NA,0
2009,AE10,PICO,1,0,0,0,NA,NA,0
2009,AE10,PIEN,1,0,0,0,NA,NA,0
2009,AE10,PIMO,1,0,0,0,NA,NA,0
2009,AE10,PISI,1,0,0,0,NA,NA,0
2009,AE10,PSME,1,0,0,0,NA,NA,0
2009,AE10,TABR,1,0,0,0,NA,NA,0
2009,AE10,THPL,1,0,0,0,NA,NA,0
2009,AE10,TSHE,1,0,0,0,NA,NA,0
2009,AE10,TSME,1,0,0,0,NA,NA,0
2009,AE10,ABAM,2,0,1,0,NA,NA,0
2009,AE10,ABGR,2,0,0,0,NA,NA,0
2009,AE10,ABLA,2,0,0,0,NA,NA,0
2009,AE10,ABPR,2,2,0,0,NA,NA,0
2009,AE10,ACGL,2,0,0,0,NA,NA,0
2009,AE10,ALRU,2,0,0,0,NA,NA,0
2009,AE10,CANO,2,1,2,0,NA,NA,0
2009,AE10,PICO,2,0,0,0,NA,NA,0
2009,AE10,PIEN,2,0,0,0,NA,NA,0
2009,AE10,PIMO,2,0,0,0,NA,NA,0
2009,AE10,PISI,2,0,0,0,NA,NA,0
2009,AE10,PSME,2,0,0,0,NA,NA,0
2009,AE10,TABR,2,0,0,0,NA,NA,0
2009,AE10,THPL,2,0,0,0,NA,NA,0
2009,AE10,TSHE,2,0,0,0,NA,NA,0
2009,AE10,TSME,2,1,0,0,NA,NA,0
2009,AE10,ABAM,3,1,0,1,NA,NA,0
2009,AE10,ABGR,3,0,0,0,NA,NA,0
2009,AE10,ABLA,3,0,0,0,NA,NA,0
2009,AE10,ABPR,3,0,0,0,NA,NA,0
2009,AE10,ACGL,3,0,0,0,NA,NA,0
2009,AE10,ALRU,3,0,0,0,NA,NA,0
2009,AE10,CANO,3,0,0,0,NA,NA,0
2009,AE10,PICO,3,0,0,0,NA,NA,0
2009,AE10,PIEN,3,0,0,0,NA,NA,0
2009,AE10,PIMO,3,0,0,0,NA,NA,0
2009,AE10,PISI,3,0,0,0,NA,NA,0
2009,AE10,PSME,3,0,0,0,NA,NA,0
