"","year","stand","trap","species","filledseeds","emptyseeds","cones","conefilledseeds","coneemptyseeds","totconeseeds"
"1",2018,"AB08",1,"THPL",1,0,0,0,0,0
"2",2018,"AB08",1,"TSHE",5,22,11,0,0,0
"3",2018,"AB08",2,"TSHE",1,26,12,0,0,0
"4",2018,"AB08",3,"THPL",1,1,1,0,0,0
"5",2018,"AB08",3,"TSHE",7,26,0,0,0,0
"6",2018,"AB08",4,"TSHE",9,23,6,0,1,1
"7",2018,"AB08",5,"TSHE",5,22,10,0,0,0
"8",2018,"AB08",6,"PSME",1,0,0,0,0,0
"9",2018,"AB08",6,"TSHE",2,21,19,0,0,0
"10",2018,"AE10",1,"ABAM",0,1,0,0,0,0
"11",2018,"AE10",1,"ABLA",0,1,0,0,0,0
"12",2018,"AE10",1,"CANO",5,2,0,0,0,0
"13",2018,"AE10",2,"ABAM",0,1,0,0,0,0
"14",2018,"AE10",2,"ABLA",1,0,0,0,0,0
"15",2018,"AE10",2,"CANO",1,2,0,0,0,0
"16",2018,"AE10",2,"TSME",2,0,0,0,0,0
"17",2018,"AE10",3,"CANO",8,3,0,0,0,0
"18",2018,"AE10",4,"ABAM",0,1,0,0,0,0
"19",2018,"AE10",4,"CANO",0,1,0,0,0,0
"20",2018,"AE10",4,"TSME",1,0,0,0,0,0
"21",2018,"AE10",5,"ABAM",0,2,0,0,0,0
"22",2018,"AE10",5,"CANO",4,0,0,0,0,0
"23",2018,"AE10",5,"TSME",1,0,0,0,0,0
"24",2018,"AE10",6,"ABLA",0,1,0,0,0,0
"25",2018,"AE10",6,"CANO",7,1,0,0,0,0
"26",2018,"AE10",6,"TSME",1,1,0,0,0,0
"27",2018,"AG05",1,"ABAM",1,3,0,0,0,0
"28",2018,"AG05",1,"PSME",7,1,0,0,0,0
"29",2018,"AG05",1,"THPL",61,39,6,11,3,14
"30",2018,"AG05",1,"TSHE",11,0,0,0,0,0
"31",2018,"AG05",2,"ABAM",3,1,0,0,0,0
"32",2018,"AG05",2,"PSME",3,0,0,0,0,0
"33",2018,"AG05",2,"THPL",54,20,3,0,0,0
"34",2018,"AG05",2,"TSHE",1,1,0,0,0,0
"35",2018,"AG05",3,"ABAM",6,3,0,0,0,0
"36",2018,"AG05",3,"PSME",4,2,0,1,0,1
"37",2018,"AG05",3,"THPL",45,46,7,10,7,17
"38",2018,"AG05",3,"TSHE",7,3,0,0,0,0
"39",2018,"AG05",4,"ABAM",4,1,0,0,0,0
"40",2018,"AG05",4,"PSME",3,1,0,0,0,0
"41",2018,"AG05",4,"THPL",45,28,23,19,13,32
"42",2018,"AG05",4,"TSHE",4,3,0,0,0,0
"43",2018,"AG05",5,"ABAM",1,2,0,0,0,0
"44",2018,"AG05",5,"PSME",9,3,0,0,0,0
"45",2018,"AG05",5,"THPL",48,43,9,19,9,28
"46",2018,"AG05",5,"THPL",1,0,0,0,0,0
"47",2018,"AG05",5,"TSHE",3,1,0,0,0,0
"48",2018,"AG05",5,"TSHE",105,43,16,4,2,6
"49",2018,"AG05",6,"ABAM",1,1,0,0,0,0
"50",2018,"AG05",6,"PSME",5,1,1,0,0,0
"51",2018,"AG05",6,"THPL",24,25,22,59,44,103
"52",2018,"AG05",6,"TSHE",1,3,0,0,0,0
"53",2018,"AM16",1,"TSHE",0,5,1,0,0,0
"54",2018,"AM16",2,"TSHE",1,3,0,0,0,0
"55",2018,"AM16",3,"CANO",3,0,0,0,0,0
"56",2018,"AM16",3,"TSHE",2,2,1,0,0,0
"57",2018,"AM16",3,"TSME",0,0,2,0,0,0
"58",2018,"AM16",4,"CANO",1,0,0,0,0,0
"59",2018,"AM16",4,"TSHE",1,7,0,0,0,0
"60",2018,"AM16",5,"CANO",5,0,0,0,0,0
"61",2018,"AM16",5,"TSHE",2,14,0,0,0,0
"62",2018,"AM16",5,"TSME",2,2,0,0,0,0
"63",2018,"AM16",6,"CANO",4,0,2,0,0,0
"64",2018,"AM16",6,"TSHE",3,11,0,0,0,0
"65",2018,"AO03",1,"PSME",1,1,0,0,0,0
"66",2018,"AO03",1,"THPL",7,8,1,3,1,4
"67",2018,"AO03",1,"TSHE",35,13,11,0,0,0
"68",2018,"AO03",2,"PSME",1,0,0,0,0,0
"69",2018,"AO03",2,"THPL",4,4,11,9,31,40
"70",2018,"AO03",2,"TSHE",27,17,8,2,4,6
"71",2018,"AO03",3,"ABAM",1,0,0,0,0,0
"72",2018,"AO03",3,"PSME",3,1,0,0,0,0
"73",2018,"AO03",3,"THPL",2,4,8,0,6,6
"74",2018,"AO03",3,"TSHE",74,54,42,11,14,25
"75",2018,"AO03",4,"PSME",20,26,1,4,0,4
"76",2018,"AO03",4,"THPL",13,15,18,4,27,31
"77",2018,"AO03",4,"TSHE",35,39,12,1,4,5
"78",2018,"AO03",6,"PSME",24,8,11,12,4,16
"79",2018,"AO03",6,"THPL",1,2,3,3,10,13
"80",2018,"AO03",6,"TSHE",7,15,0,0,0,0
"81",2018,"AO03",5,"PSME",9,0,1,6,0,6
"82",2018,"AO03",5,"THPL",5,10,1,1,6,7
"83",2018,"AO03",5,"TSHE",18,23,4,5,1,6
"84",2018,"AR07",1,"CANO",2,0,0,0,0,0
"85",2018,"AR07",1,"TSME",3,4,1,1,0,1
"86",2018,"AR07",2,"CANO",0,0,7,5,0,5
"87",2018,"AR07",2,"TSME",2,2,1,0,1,1
"88",2018,"AR07",3,"CANO",5,1,4,2,0,2
"89",2018,"AR07",3,"TSME",0,3,0,0,0,0
"90",2018,"AR07",4,"CANO",4,1,2,0,2,2
"91",2018,"AR07",4,"TSME",1,2,0,0,0,0
"92",2018,"AR07",5,"CANO",2,0,0,0,0,0
"93",2018,"AR07",5,"TSME",0,1,0,0,0,0
"94",2018,"AR07",6,"CANO",7,1,2,0,0,0
"95",2018,"AR07",6,"TSME",1,2,0,0,0,0
"96",2018,"AV02",1,"PSME",2,2,0,0,0,0
"97",2018,"AV02",1,"THPL",2,0,0,0,0,0
"98",2018,"AV02",1,"TSHE",69,29,17,0,7,7
"99",2018,"AV02",2,"PSME",4,0,0,0,0,0
"100",2018,"AV02",2,"TSHE",63,27,26,31,6,37
"101",2018,"AV02",3,"ABAM",0,0,0,1,0,1
"102",2018,"AV02",3,"PSME",0,3,0,0,0,0
"103",2018,"AV02",3,"TSHE",71,41,13,8,1,9
"104",2018,"AV02",4,"ABAM",1,0,0,0,0,0
"105",2018,"AV02",4,"PSME",1,0,0,0,0,0
"106",2018,"AV02",4,"TSHE",76,39,27,13,13,26
"107",2018,"AV02",5,"ABAM",2,0,0,0,0,0
"108",2018,"AV02",5,"PSME",1,0,0,0,0,0
"109",2018,"AV02",6,"ABAM",8,1,0,0,0,0
"110",2018,"AV02",6,"PSME",1,1,0,0,0,0
"111",2018,"AV02",6,"TSHE",70,31,7,3,1,4
"112",2018,"AV06",1,"ABAM",2,0,0,0,0,0
"113",2018,"AV06",1,"THPL",2,2,0,0,0,0
"114",2018,"AV06",1,"TSHE",2,8,1,0,0,0
"115",2018,"AV06",2,"ABAM",1,0,0,0,0,0
"116",2018,"AV06",2,"THPL",2,2,0,0,0,0
"117",2018,"AV06",2,"TSHE",15,3,24,10,0,10
"118",2018,"AV06",3,"PSME",0,1,0,0,0,0
"119",2018,"AV06",3,"THPL",3,0,0,0,0,0
"120",2018,"AV06",3,"TSHE",20,2,27,0,14,14
"121",2018,"AV06",4,"ABAM",0,2,0,0,0,0
"122",2018,"AV06",4,"PSME",1,1,0,0,0,0
"123",2018,"AV06",4,"TSHE",3,5,10,0,0,0
"124",2018,"AV06",5,"ABAM",7,0,0,0,0,0
"125",2018,"AV06",5,"PSME",0,2,0,0,0,0
"126",2018,"AV06",5,"THPL",1,1,0,0,0,0
"127",2018,"AV06",5,"TSHE",3,12,1,0,0,0
"128",2018,"AV06",6,"ABAM",3,2,0,0,0,0
"129",2018,"AV06",6,"THPL",0,0,1,0,0,0
"130",2018,"AV06",6,"TSHE",0,5,0,0,0,0
"131",2018,"AV14",1,"ABAM",1,0,0,0,1,1
"132",2018,"AV14",1,"TSHE",31,4,2,0,0,0
"133",2018,"AV14",2,"ABAM",1,1,0,0,0,0
"134",2018,"AV14",2,"TSHE",33,2,4,0,0,0
"135",2018,"AV14",3,"ABAM",2,0,0,0,0,0
"136",2018,"AV14",3,"TSHE",21,0,86,55,1,56
"137",2018,"AV14",4,"TSHE",28,3,50,20,2,22
"138",2018,"AV14",5,"ABAM",0,1,0,0,0,0
"139",2018,"AV14",5,"TSHE",40,2,17,4,0,4
"140",2018,"AV14",6,"TSHE",39,6,21,0,0,0
"141",2018,"AX15",1,"THPL",5,2,0,0,0,0
"142",2018,"AX15",1,"TSHE",12,3,3,6,2,8
"143",2018,"AX15",2,"PSME",2,1,0,0,0,0
"144",2018,"AX15",2,"THPL",3,0,0,0,0,0
"145",2018,"AX15",2,"TSHE",16,3,2,0,0,0
"146",2018,"AX15",3,"THPL",1,1,0,0,0,0
"147",2018,"AX15",3,"TSHE",23,2,7,2,0,2
"148",2018,"AX15",4,"TSHE",12,2,0,0,0,0
"149",2018,"AX15",5,"PSME",0,1,0,0,0,0
"150",2018,"AX15",5,"THPL",1,0,5,7,0,7
"151",2018,"AX15",5,"TSHE",10,3,2,0,0,0
"152",2018,"AX15",6,"THPL",3,2,13,10,13,23
"153",2018,"AX15",6,"TSHE",11,1,5,0,0,0
"154",2018,"PARA",1,"TSME",3,0,0,0,0,0
"155",2018,"PARA",2,"ABAM",1,0,0,0,0,0
"156",2018,"PARA",2,"ABLA",2,0,0,0,0,0
"157",2018,"PARA",2,"TSME",1,0,1,4,0,4
"158",2018,"PARA",3,"ABAM",1,0,0,0,0,0
"159",2018,"PARA",3,"ABLA",2,0,0,0,0,0
"160",2018,"PARA",3,"CANO",0,1,0,0,0,0
"161",2018,"PARA",3,"TSME",5,0,0,0,0,0
"162",2018,"PARA",4,"ABLA",1,0,0,0,0,0
"163",2018,"PARA",4,"TSME",1,0,1,0,0,0
"164",2018,"PARA",5,"ABAM",0,1,0,0,0,0
"165",2018,"PARA",5,"TSME",3,0,1,0,0,0
"166",2018,"PARA",6,"CANO",1,0,0,0,0,0
"167",2018,"PARA",6,"TSME",5,0,1,0,0,0
"168",2018,"PP17",1,"PICO",6,8,0,0,0,0
"169",2018,"PP17",1,"PIEN",1,0,0,0,0,0
"170",2018,"PP17",1,"PSME",1,2,0,0,0,0
"171",2018,"PP17",1,"TSHE",0,1,0,0,0,0
"172",2018,"PP17",2,"PICO",11,9,0,0,0,0
"173",2018,"PP17",2,"PSME",1,1,0,0,0,0
"174",2018,"PP17",3,"PICO",3,13,0,0,0,0
"175",2018,"PP17",3,"TSME",1,0,0,0,0,0
"176",2018,"PP17",4,"PICO",1,0,0,0,0,0
"177",2018,"PP17",4,"PSME",3,0,0,0,0,0
"178",2018,"PP17",5,"PICO",3,0,0,0,0,0
